page,chart,masked_text,bbox
27,Corona Borealis,SERPENS,"(337.2674255371094, 488.18438720703125, 388.3393859863281, 501.1564025878906)"
27,Corona Borealis,CAPUT,"(343.555419921875, 505.65643310546875, 382.0514221191406, 518.62841796875)"
28,Corvus,CRATER,"(445.4198913574219, 348.02740478515625, 489.1238708496094, 360.9994201660156)"
28,Corvus,CORVUS,"(274.3838806152344, 398.70343017578125, 321.7358703613281, 411.6754150390625)"
29,Crater,CRATER,"(245.64840698242188, 405.27691650390625, 289.3523864746094, 418.2489013671875)"
29,Crater,CORVUS,"(134.42041015625, 407.952880859375, 181.77239990234375, 420.9248962402344)"
29,Crater,SEXTANS,"(426.2004089355469, 299.60491943359375, 477.4884033203125, 312.576904296875)"
29,Crater,HYDRA,"(421.01611328125, 530.9678344726562, 461.43212890625, 543.9398193359375)"
29,Crater,LEO,"(323.49212646484375, 252.30381774902344, 345.33209228515625, 265.27581787109375)"
29,Crater,VIRGO,"(133.43612670898438, 307.6478271484375, 170.31214904785156, 320.61981201171875)"
30,Crux,CENTAURUS,"(259.80859375, 252.50389099121094, 329.3125915527344, 265.47589111328125)"
30,Crux,CRUX,"(315.72857666015625, 366.44390869140625, 346.652587890625, 379.4158935546875)"
30,Crux,MUSCA,"(252.632568359375, 561.6478881835938, 294.30859375, 574.619873046875)"
30,Crux,CARINA,"(401.1142883300781, 525.8438110351562, 445.2983093261719, 538.8157958984375)"
31,Cygnus,CEPHEUS,"(182.9066925048828, 187.8716278076172, 236.16270446777344, 200.8436279296875)"
31,Cygnus,CYGNUS,"(266.918701171875, 324.8636474609375, 314.7867431640625, 337.83563232421875)"
31,Cygnus,DELPHINUS,"(240.23069763183594, 641.2316284179688, 307.5146179199219, 654.20361328125)"
31,Cygnus,LACERTA,"(108.33869934082031, 297.49163818359375, 159.13470458984375, 310.463623046875)"
31,Cygnus,LYRA,"(427.190673828125, 474.52764892578125, 455.0186767578125, 487.4996337890625)"
31,Cygnus,SAGIT TA,"(423.9866638183594, 621.3116455078125, 472.9706726074219, 634.2836303710938)"
31,Cygnus,VULPECULA,"(251.6546630859375, 594.9956665039062, 320.5105895996094, 607.9676513671875)"
31,Cygnus,DRACO,"(342.49798583984375, 228.3711395263672, 383.25, 241.3431396484375)"
31,Cygnus,PEGASUS,"(140.71798706054688, 628.1031494140625, 194.0339813232422, 641.0751342773438)"
32,Delphinus,AQUILA,"(431.8280944824219, 506.21881103515625, 476.1080627441406, 519.1907958984375)"
32,Delphinus,DELPHINUS,"(257.8760986328125, 332.7108154296875, 325.1600341796875, 345.6828308105469)"
32,Delphinus,EQUULEUS,"(155.3480987548828, 504.7308349609375, 217.97608947753906, 517.7028198242188)"
32,Delphinus,SAGIT TA,"(365.9600830078125, 345.32281494140625, 414.9441223144531, 358.2947998046875)"
32,Delphinus,VULPECULA,"(267.9080810546875, 289.51080322265625, 336.7640075683594, 302.4827880859375)"
32,Delphinus,PEGASUS,"(130.42039489746094, 363.64801025390625, 183.73638916015625, 376.6200256347656)"
33,Dorado,DORADO,"(275.7323913574219, 417.55670166015625, 327.6564025878906, 430.5287170410156)"
33,Dorado,HYDRUS,"(336.42840576171875, 548.4647216796875, 384.4044189453125, 561.4367065429688)"
33,Dorado,PICTOR,"(204.0924072265625, 273.85675048828125, 246.6204071044922, 286.8287353515625)"
33,Dorado,RETICULUM,"(361.61639404296875, 408.74871826171875, 429.17633056640625, 421.7207336425781)"
33,Dorado,VOLANS,"(126.35639953613281, 511.46875, 173.45640563964844, 524.4407348632812)"
33,Dorado,MENSA,"(225.34469604492188, 553.0830688476562, 266.0967102050781, 566.0550537109375)"
34,Draco,CEPHEUS,"(200.62449645996094, 265.54205322265625, 253.88050842285156, 278.5140380859375)"
34,Draco,DRACO,"(211.0764923095703, 398.4420166015625, 251.82850646972656, 411.4140319824219)"
34,Draco,URSA,"(385.18450927734375, 405.01800537109375, 415.6405334472656, 417.9900207519531)"
34,Draco,MAJOR,"(380.1085205078125, 416.02203369140625, 420.70452880859375, 428.9940185546875)"
34,Draco,URSA,"(332.780517578125, 341.21405029296875, 363.2365417480469, 354.18603515625)"
34,Draco,MINOR,"(328.1125183105469, 351.21002197265625, 367.90447998046875, 364.1820373535156)"
34,Draco,BOOTES,"(321.2734069824219, 521.9034423828125, 367.2814025878906, 534.8754272460938)"
34,Draco,HERCULES,"(178.9534149169922, 507.51544189453125, 239.20542907714844, 520.4874267578125)"
34,Draco,CANES,"(436.8934326171875, 476.555419921875, 474.9814453125, 489.5274353027344)"
34,Draco,VENATICI,"(429.14141845703125, 487.5594482421875, 482.745361328125, 500.53143310546875)"
34,Draco,LYRA,"(115.40142822265625, 467.2674560546875, 143.2294158935547, 480.23944091796875)"
34,Draco,CYGNUS,"(89.04942321777344, 352.04345703125, 136.91741943359375, 365.01544189453125)"
35,Equuleus,DELPHINUS,"(367.0321960449219, 294.91650390625, 434.3161315917969, 307.88848876953125)"
35,Equuleus,EQUULEUS,"(283.02020263671875, 455.20050048828125, 345.6481628417969, 468.1724853515625)"
35,Equuleus,PEGASUS,"(103.72270202636719, 324.93121337890625, 157.0386962890625, 337.9032287597656)"
35,Equuleus,AQUARIUS,"(259.470703125, 524.9952392578125, 320.3106994628906, 537.9672241210938)"
36,Eridanus,CAELUM,"(201.41360473632812, 457.8243408203125, 249.29360961914062, 470.79632568359375)"
36,Eridanus,CETUS,"(406.9376220703125, 316.69232177734375, 443.7296142578125, 329.664306640625)"
36,Eridanus,COLUMBA,"(133.6976318359375, 428.56829833984375, 191.23764038085938, 441.5403137207031)"
36,Eridanus,DORADO,"(195.3536376953125, 593.7123413085938, 247.2776336669922, 606.684326171875)"
36,Eridanus,ERIDANUS,"(281.15362548828125, 318.5643310546875, 341.15362548828125, 331.53631591796875)"
36,Eridanus,FORNAX,"(296.0456237792969, 420.39630126953125, 343.7936096191406, 433.3683166503906)"
36,Eridanus,HOROLOGIUM,"(279.0896301269531, 530.0162963867188, 361.841552734375, 542.98828125)"
36,Eridanus,LEPUS,"(108.713623046875, 329.12432861328125, 144.54562377929688, 342.0963134765625)"
36,Eridanus,ORION,"(120.59362030029297, 219.87632751464844, 159.04161071777344, 232.84832763671875)"
36,Eridanus,PHOENIX,"(429.73760986328125, 543.5283813476562, 482.29754638671875, 556.5003662109375)"
36,Eridanus,PICTOR,"(158.45361328125, 524.7603149414062, 200.9816131591797, 537.7322998046875)"
36,Eridanus,TAURUS,"(204.5814971923828, 207.7593231201172, 249.88150024414062, 220.7313232421875)"
37,Fornax,CAELUM,"(94.93209838867188, 534.1670532226562, 142.81210327148438, 547.1390380859375)"
37,Fornax,CETUS,"(349.236083984375, 260.67498779296875, 386.028076171875, 273.64697265625)"
